iter	Passed	Remaining
0	7	720
1	11	585
2	15	514
3	19	467
4	22	426
5	25	394
6	27	369
7	30	347
8	32	328
9	34	312
10	36	298
11	38	285
12	40	272
13	42	261
14	44	251
15	46	242
16	48	235
17	49	227
18	51	220
19	53	213
20	55	208
21	57	203
22	59	197
23	61	193
24	63	190
25	76	217
26	81	220
27	85	220
28	89	218
29	92	216
30	95	212
31	98	208
32	101	205
33	104	202
34	106	198
35	108	193
36	111	189
37	113	184
38	115	180
39	117	176
40	119	172
41	132	182
42	138	183
43	142	181
44	147	179
45	150	177
46	153	173
47	156	169
48	159	166
49	161	161
50	164	157
51	166	153
52	168	149
53	170	145
54	172	141
55	185	145
56	190	143
57	195	141
58	199	138
59	202	135
60	205	131
61	208	127
62	210	123
63	213	119
64	215	115
65	217	111
66	219	107
67	221	104
68	222	100
69	224	96
70	226	92
71	231	90
72	240	88
73	244	86
74	248	82
75	251	79
76	254	76
77	257	72
78	260	69
79	262	65
80	265	62
81	267	58
82	269	55
83	271	51
84	273	48
85	275	44
86	277	41
87	278	38
88	280	34
89	282	31
90	283	28
91	285	24
92	291	21
93	299	19
94	304	16
95	308	12
96	311	9
97	315	6
98	317	3
99	320	0
