iter	RMSE
0	2.843667494
1	2.739282352
2	2.641976743
3	2.548234217
4	2.444030488
5	2.34550142
6	2.255179939
7	2.168153905
8	2.092248399
9	2.021861131
10	1.951586285
11	1.89213026
12	1.82320274
13	1.764427385
14	1.703711142
15	1.639509323
16	1.579361848
17	1.523288667
18	1.480508944
19	1.429795636
20	1.383954095
21	1.341949058
22	1.30649319
23	1.270900654
24	1.231394521
25	1.19831554
26	1.167057679
27	1.136054573
28	1.105077745
29	1.077292657
30	1.049158522
31	1.029037096
32	1.008889801
33	0.9866382509
34	0.964680125
35	0.9449434394
36	0.9293277805
37	0.9122117038
38	0.895906489
39	0.8791129074
40	0.86293819
41	0.8475840444
42	0.8374987219
43	0.8231976058
44	0.8108276026
45	0.7989885479
46	0.7870166967
47	0.7764042725
48	0.7660866043
49	0.7585451851
50	0.7503813774
51	0.7428580163
52	0.7364224762
53	0.7318369781
54	0.7273906078
55	0.7203277831
56	0.7138264144
57	0.7076866686
58	0.7020289198
59	0.697313571
60	0.6931977622
61	0.689628473
62	0.6845531052
63	0.6801050193
64	0.676435563
65	0.6732853852
66	0.6698229439
67	0.6655017568
68	0.6627771822
69	0.6585763815
70	0.6560162688
71	0.6543460256
72	0.6516815656
73	0.6486224726
74	0.6443480662
75	0.6413698505
76	0.6372981292
77	0.6352005914
78	0.6336737526
79	0.629845979
80	0.6263741209
81	0.6248097592
82	0.623449121
83	0.6213299145
84	0.6192815031
85	0.6171083654
86	0.6150013756
87	0.6134736656
88	0.612146768
89	0.6102751074
90	0.6070755296
91	0.6054948267
92	0.6019483863
93	0.6004939564
94	0.5985733886
95	0.5968921641
96	0.5943238885
97	0.5894427731
98	0.5869697846
99	0.5846152631
